input_term,term,industry
Academic librarianship/archives,Research,Science/Research
Academic library (public university),Education,Education/Training
"Academic library, state-supported",Research,Science/Research
Academic non-profit (scientific society),Non-Profit,Non-Profit/Volunteering
Academic science,Science Research,Science/Research
Academic software,Computer,Computer/Internet
Academic software development,Research,Science/Research
"Academic, public health",Healthcare,Healthcare
Academics (non-university),Education,Education/Training
Academics / Medical Research,Research,Science/Research
Acadmia,Research,Science/Research
Accident replacement vehicles,Insurance,Insurance
Accountancy,Accounting,Accounting/Finance
Accounting,Accounting,Accounting/Finance
Accounting (for a construction company),Construction,Construction/Facilities
Accounting - NonProfit,Non-Profit,Non-Profit/Volunteering
Accounting - Tax,Accounting,Accounting/Finance
Accounting - tax prep,Accounting,Accounting/Finance
Accounting and Administration and HR,Human Resources,Human Resources
Accounting and Finance,Accounting Finance,Accounting/Finance
Accounting and HR,Human Resources,Human Resources
Accounting and real estate,Accounting,Accounting/Finance
Accounting big 4,Accounting,Accounting/Finance
Accounting firm,Accounting,Accounting/Finance
Accounting software,Accounting,Accounting/Finance
Accounting/ Assitant Teaching,Accounting,Accounting/Finance
Accounting/Consulting,Accounting,Accounting/Finance
Accounting/Finance,Accounting Finance,Accounting/Finance
Accounting/Real Estate,Accounting,Accounting/Finance
Accounting/Tax,Accounting,Accounting/Finance
Accouting,Accounting,Accounting/Finance
Acedemia,Research,Science/Research
Acedemia/Healthcare,Healthcare,Healthcare
Acting,Community,Social/Community
Activism,Social,Social/Community
Actuarial Consulting,Consulting,Upper Management/Consulting
Ad Agency,Advertising,Marketing/Advertising/PR
Ad Tech,Advertising,Marketing/Advertising/PR
Ad Tech/MarTech,Marketing,Marketing/Advertising/PR
Ad Technology,Advertising,Marketing/Advertising/PR
Ad tech/mobile marketinf,Advertising,Marketing/Advertising/PR
AdTech,Advertising,Marketing/Advertising/PR
Addiction Recovery,Pharmaceutical,Pharmaceutical/Bio-tech
Admin,Education Training,Education/Training
Admin A/R Billing,Accounting,Accounting/Finance
Admin Assistant in Big 4 Accounting Firm,Accounting,Accounting/Finance
Admin/Environmental Consulting,Environmental,Environmental
Administration,Administrative,Administrative
Administrative,Administrative,Administrative
Ads / Classifieds,Advertising,Marketing/Advertising/PR
Adult Education,Education,Education/Training
Adult Film,Community,Social/Community
Advanced composites,Manufacturing,Manufacturing/Mechanical
Advancement,Administrative,Administrative
Advancement in Higher Ed,Education,Education/Training
Advancement/Development/Fundraising,Non-Profit,Non-Profit/Volunteering
Advertising,Advertising,Marketing/Advertising/PR
Advertising & Communications,Advertising,Marketing/Advertising/PR
Advertising & Design,Advertising,Marketing/Advertising/PR
Advertising / Software,Advertising,Marketing/Advertising/PR
Advertising Technology,Advertising,Marketing/Advertising/PR
Advertising and Media,Advertising,Marketing/Advertising/PR
Advertising tech,Advertising,Marketing/Advertising/PR
Advertising/Design,Advertising,Marketing/Advertising/PR
Advertising/Internet Marketing,Advertising,Marketing/Advertising/PR
Advertising/Marketing,Advertising,Marketing/Advertising/PR
Advertising/Media,Advertising,Marketing/Advertising/PR
Advertising/PR,PR,Marketing/Advertising/PR
Advertising/Publishing,Advertising,Marketing/Advertising/PR
Advertising/sales-LGBTQ focused,Advertising,Marketing/Advertising/PR
Aero,Administrative,Administrative
Aero Space,Engineering,Engineering/Architecture
Aerodpace,Engineering,Engineering/Architecture
Aeronautic engineering,Engineering,Engineering/Architecture
Aerospace,Engineering,Engineering/Architecture
Aerospace & Defense,Finance,Accounting/Finance
Aerospace & Defense Manufacturing,Manufacturing,Manufacturing/Mechanical
Aerospace Engineering,Engineering,Engineering/Architecture
Aerospace Finance,Accounting Finance,Accounting/Finance
Aerospace Manufacturing,Manufacturing,Manufacturing/Mechanical
Aerospace Training,Engineering,Engineering/Architecture
Aerospace and Aviation,Engineering,Engineering/Architecture
Aerospace and Defense,Finance,Accounting/Finance
Aerospace defense contractor,Military,Government/Military
Aerospace industry,Manufacturing,Manufacturing/Mechanical
Aerospace metal recycling,Manufacturing,Manufacturing/Mechanical
Aerospace sales,Sales,Sales
Aerospace/Defenses,Military,Government/Military
Aerospace/Government,Engineering,Engineering/Architecture
Affiliate websites,Marketing,Marketing/Advertising/PR
Affordable Housing,Real Estate,Real Estate
Affordable Housing (Semi-Governmental),Construction,Construction/Facilities
Affordable housing development,Construction,Construction/Facilities
Aftermarket Heavy Duty Truck Parts,Restaurant Food Service,Restaurant/Food Service
Ag Manufacturing,Manufacturing,Manufacturing/Mechanical
AgTech,Agriculture,Agriculture
Aged care,Healthcare,Healthcare
Aging Care,Healthcare,Healthcare
Agribusiness,Agriculture,Agriculture
Agricultural,Agriculture,Agriculture
Agricultural Chemical Services,Agriculture,Agriculture
Agricultural Healthcare,Agriculture,Agriculture
Agricultural Research,Agriculture,Agriculture
Agricultural biotechnology,Bio-tech,Pharmaceutical/Bio-tech
Agriculture,Agriculture,Agriculture
Agriculture equipment,Agriculture,Agriculture
Agriculture technology,Agriculture,Agriculture
Agriculture/Education,Agriculture,Agriculture
Agriculture/Finance,Agriculture,Agriculture
Agriculture/Hospitality,Hospitality Travel,Hospitality/Travel
Agriculture/sales,Agriculture,Agriculture
Agrochemical,Agriculture,Agriculture
Aid,Finance,Accounting/Finance
Ailine,Travel,Hospitality/Travel
Air Pollution Regulation,Environmental,Environmental
Air safety,Transportation,Transportation/Logistics
Aircraft Maintenance,Transportation,Transportation/Logistics
Aircraft manufacturing,Manufacturing,Manufacturing/Mechanical
Airline,Travel,Hospitality/Travel
Airline Catering/Data Management,Logistics,Transportation/Logistics
Airline R/D,Real Estate,Real Estate
Airlines,Travel,Hospitality/Travel
Airport,Transportation,Transportation/Logistics
Airport Retail,Retail,Retail
Alarms,Security,Law Enforcement/Security
Alchol,Pharmaceutical,Pharmaceutical/Bio-tech
Alcohol beverages,Restaurant,Restaurant/Food Service
Alcoholic Beverage Sales,Restaurant Food Service,Restaurant/Food Service
Allied Health,Healthcare,Healthcare
Alternative Asset Management,Finance,Accounting/Finance
Alternative education,Education,Education/Training
Amazon,Finance,Accounting/Finance
Amusement,Travel,Hospitality/Travel
Analytical Chemistry,Science Research,Science/Research
Analytics,Research,Science/Research
Animal Care/Research,Other,Other
Animal Control,Other,Other
Animal Health Care,Healthcare,Healthcare
Animal Health Marketing,Healthcare,Healthcare
Animal health distribution,Healthcare,Healthcare
Animal vaccine manufacture,Pharmaceutical,Pharmaceutical/Bio-tech
Animal welfare,Other,Other
Animal welfare non-profit,Non-Profit,Non-Profit/Volunteering
Animation,Media,Media
Any industry to show how free-form text is useless in this context.,Personal Service,Personal Service
Apartment Management,Real Estate,Real Estate
Apparel,Sales,Sales
Apparel + Footwear,Retail,Retail
Apparel and Footwear,Retail,Retail
Apparel/Retail,Retail,Retail
Appliance repair,Customer Service,Customer Service
Aquaculture,Agriculture,Agriculture
Aquatics,Facilities,Construction/Facilities
Arbor care,Healthcare,Healthcare
Arboriculture,Agriculture,Agriculture
Arboriculture  / Landscaping,Healthcare,Healthcare
Arch/Eng/Construction,Engineering Architecture,Engineering/Architecture
Archaeological consulting,Consulting,Upper Management/Consulting
Archaeology,Science,Science/Research
Architect,Engineering Architecture,Engineering/Architecture
Architect - Infrastructure,Engineering Architecture,Engineering/Architecture
Architectural Design,Architecture,Engineering/Architecture
Architectural Woodworking,Engineering Architecture,Engineering/Architecture
Architectural/Engineering Firm,Engineering Architecture,Engineering/Architecture
Architecture,Architecture,Engineering/Architecture
Architecture & Design,Architecture,Engineering/Architecture
Architecture & Planning,Architecture,Engineering/Architecture
Architecture + Construction,Engineering Architecture,Engineering/Architecture
Architecture / Engineering,Engineering Architecture,Engineering/Architecture
Architecture / Interior Design,Architecture,Engineering/Architecture
Architecture and Construction,Engineering Architecture,Engineering/Architecture
Architecture and Design,Architecture,Engineering/Architecture
Architecture and Engineering,Engineering Architecture,Engineering/Architecture
Architecture and Interior Desgin,Architecture,Engineering/Architecture
Architecture and Planning,Architecture,Engineering/Architecture
"Architecture, Engineering, Construction",Engineering Architecture,Engineering/Architecture
"Architecture, Engineering, Planning and Interiors",Engineering Architecture,Engineering/Architecture
"Architecture, Engineering, and Construction",Engineering Architecture,Engineering/Architecture
Architecture/ interiors,Architecture,Engineering/Architecture
Architecture/Construction,Engineering Architecture,Engineering/Architecture
Architecture/Design,Architecture,Engineering/Architecture
Architecture/Engineering,Engineering Architecture,Engineering/Architecture
Architecture/Planning,Architecture,Engineering/Architecture
Archives,Research,Science/Research
Archives (higher ed),Education,Education/Training
Archives (municipal govt.),Government,Government/Military
Archives (spec. Museum Archives),Computer,Computer/Internet
"Archives, Academic",Research,Science/Research
Archives/Libraries,Research,Science/Research
Archiving/Tech,Research,Science/Research
Archjitecture/Engineering/Construction,Engineering Architecture,Engineering/Architecture
Army Aviation,Military,Government/Military
Art,Arts,Arts/Entertainment/Publishing
Art Consulting,Arts,Arts/Entertainment/Publishing
Art and Publishing,Arts,Arts/Entertainment/Publishing
Art conservation,Arts,Arts/Entertainment/Publishing
Art gallery,Arts,Arts/Entertainment/Publishing
Art museum,Arts,Arts/Entertainment/Publishing
Art/Design,Arts,Arts/Entertainment/Publishing
Art/Picture Framing,Arts,Arts/Entertainment/Publishing
Art/entertainment,Arts,Arts/Entertainment/Publishing
Artificial Intelligence,Research,Science/Research
Arts,Arts,Arts/Entertainment/Publishing
Arts & Culture,Arts,Arts/Entertainment/Publishing
"Arts & Culture (Museums, Institutions, etc.)",Arts,Arts/Entertainment/Publishing
Arts & Entertainment,Arts,Arts/Entertainment/Publishing
Arts & Media,Arts,Arts/Entertainment/Publishing
Arts (classical music),Arts,Arts/Entertainment/Publishing
Arts / Theatre / NFP,Non-Profit,Non-Profit/Volunteering
Arts Administration,Arts,Arts/Entertainment/Publishing
Arts Administration/ Nonprofit,Arts,Arts/Entertainment/Publishing
Arts Education,Arts,Arts/Entertainment/Publishing
Arts Fundraising,Arts,Arts/Entertainment/Publishing
Arts Industry,Arts,Arts/Entertainment/Publishing
Arts Marketing,Marketing,Marketing/Advertising/PR
Arts Non Profit,Arts,Arts/Entertainment/Publishing
Arts Organisation/books/NGO,Non-Profit,Non-Profit/Volunteering
Arts and Culture,Arts,Arts/Entertainment/Publishing
Arts and Culture Non-Profit,Arts,Arts/Entertainment/Publishing
Arts and Culture- Non Profit,Arts,Arts/Entertainment/Publishing
Arts and cultural heritage,Arts,Arts/Entertainment/Publishing
Arts and entertainment,Arts,Arts/Entertainment/Publishing
Arts and entertainment (nonprofit),Non-Profit,Non-Profit/Volunteering
Arts education/Mental Health,Arts,Arts/Entertainment/Publishing
Arts non-profit (Museum),Arts,Arts/Entertainment/Publishing
"Arts non-profit, Orchestra",Arts,Arts/Entertainment/Publishing
Arts nonprofit -- classical music performance,Arts,Arts/Entertainment/Publishing
"Arts, Culture, Heritage",Arts,Arts/Entertainment/Publishing
Arts/Academia,Arts,Arts/Entertainment/Publishing
Arts/Cultural Organization,Arts,Arts/Entertainment/Publishing
Arts/Museum,Arts,Arts/Entertainment/Publishing
Asbestos abatement,Environmental,Environmental
Assessor,Business,Business/Analyst
Asset Management,Finance,Accounting/Finance
Assist Management,Upper Management,Upper Management/Consulting
Assisted Living,Healthcare,Healthcare
Association,Restaurant,Restaurant/Food Service
Association (health care),Healthcare,Healthcare
Association Management,Upper Management,Upper Management/Consulting
Association Management - Construction,Construction,Construction/Facilities
Association Membership,Non-Profit,Non-Profit/Volunteering
Association/Non-Profit,Non-Profit,Non-Profit/Volunteering
"Associations, Magazine Publishing",Publishing,Arts/Entertainment/Publishing
Associations/nonprofit,Non-Profit,Non-Profit/Volunteering
Athletic Drug Testing,Pharmaceutical,Pharmaceutical/Bio-tech
Athletic Shoes and Apparel,Retail,Retail
Athletic Training,Training,Education/Training
Athletics,Sport,Sport/Leisure
Attendance hardware/software,Human Resources,Human Resources
Attorney,Legal,Legal
Attractions,Travel,Hospitality/Travel
Auction House,Arts,Arts/Entertainment/Publishing
Audio Video,Consulting,Upper Management/Consulting
Audio Video Integration,Training,Education/Training
Audio Visual,Environmental,Environmental
Audio Visual (Commercial),Restaurant Food Service,Restaurant/Food Service
Audio electronics,Telecommunications,Telecommunications
Audio visual sales and installation,Media,Media
Audiology,Healthcare,Healthcare
Audiovisual Consulting,Consulting,Upper Management/Consulting
Audit,Accounting,Accounting/Finance
Auditing,Accounting,Accounting/Finance
Auto,Sport,Sport/Leisure
Auto Collision,Insurance,Insurance
Auto Insurance,Insurance,Insurance
Auto Racing and Tuning,Insurance,Insurance
Auto collision repair,Insurance,Insurance
Auto finance captive lender,Loans,Banking/Loans
Auto industry,Manufacturing,Manufacturing/Mechanical
Auto mfg.,Manufacturing,Manufacturing/Mechanical
Auto parts,Insurance,Insurance
Auto rental,Travel,Hospitality/Travel
Auto sales,Insurance,Insurance
AutoFinance,Loans,Banking/Loans
Automation,Manufacturing,Manufacturing/Mechanical
Automation Engineering,Engineering,Engineering/Architecture
Automobile,Transportation,Transportation/Logistics
Automobile Dealership,Business,Business/Analyst
Automobile Sales,Sales,Sales
Automobilr,Transportation,Transportation/Logistics
Automotive,Business,Business/Analyst
Automotive & Aerospace,Manufacturing,Manufacturing/Mechanical
"Automotive (IT, specifically)",Business,Business/Analyst
Automotive (Tier II Supplier),Manufacturing,Manufacturing/Mechanical
Automotive - Car Dealership,Retail,Retail
Automotive / Financial,Finance,Accounting/Finance
Automotive Aftermarket,Retail,Retail
Automotive Dealership,Insurance,Insurance
Automotive Electronics,Computer,Computer/Internet
Automotive Engineering,Engineering,Engineering/Architecture
Automotive Finance,Loans,Banking/Loans
Automotive Financial Services,Loans,Banking/Loans
Automotive Manufacturer,Manufacturing,Manufacturing/Mechanical
Automotive Manufacturing,Manufacturing,Manufacturing/Mechanical
Automotive Marketing,Marketing,Marketing/Advertising/PR
Automotive Parts,Insurance,Insurance
Automotive R&D,Manufacturing,Manufacturing/Mechanical
Automotive Retail,Retail,Retail
Automotive Sales,Sales,Sales
Automotive Services,Insurance,Insurance
Automotive Supply,Insurance,Insurance
Automotive entertainment,Entertainment,Arts/Entertainment/Publishing
Automotive pr,Marketing Advertising PR,Marketing/Advertising/PR
Automotive supplier (npt OEM),PR,Marketing/Advertising/PR
Automotive technology,Training,Education/Training
Automotive testing,Mechanical,Manufacturing/Mechanical
Automotive/Insurance,Insurance,Insurance
Autonomous Cars,Transportation,Transportation/Logistics
Autonomous Vehicles,Transportation,Transportation/Logistics
Aviatino,Transportation,Transportation/Logistics
Aviation,Transportation,Transportation/Logistics
Aviation Support Services,Customer Service,Customer Service
Aviation manufacturing,Manufacturing,Manufacturing/Mechanical
Aviation/Defense,Military,Government/Military
Aviation/Government,Business,Business/Analyst
Aviation/Medicine,Healthcare,Healthcare
Aviation/Navigation,Travel,Hospitality/Travel
Aviation/aerospace,Engineering,Engineering/Architecture
Avionics,Transportation,Transportation/Logistics
Awards & Recognition,Consulting,Upper Management/Consulting
B 2 B Services,Customer Service,Customer Service
B to B,Marketing,Marketing/Advertising/PR
B-corp,Business,Business/Analyst
B2B,Marketing,Marketing/Advertising/PR
B2B Marketing,Marketing,Marketing/Advertising/PR
B2B Publishing,Marketing,Marketing/Advertising/PR
B2B SAAS,Marketing,Marketing/Advertising/PR
B2B Sales,Sales,Sales
B2B Services,Business,Business/Analyst
B2B Software Sales,Sales,Sales
B2C Software,Customer Service,Customer Service
BPO,Business,Business/Analyst
BSA/AML Compliance,Banking,Banking/Loans
Background Screening,Human Resources,Human Resources
Background checking,Human Resources,Human Resources
Background checks,Human Resources,Human Resources
Bakery (Wholesale and Retail),Retail,Retail
Baking,Restaurant,Restaurant/Food Service
Bank,Banking,Banking/Loans
Bank Regulation,Banking,Banking/Loans
Banking,Banking,Banking/Loans
Banking & Technology,Banking,Banking/Loans
Banking (credit union),Banking,Banking/Loans
Banking - Wealth Management,Banking,Banking/Loans
Banking Operations,Banking,Banking/Loans
Banking Software,Banking,Banking/Loans
Banking and Finance,Accounting Finance,Accounting/Finance
Banking/ Finance,Finance,Accounting/Finance
Banking/Credit Union Software,Banking,Banking/Loans
Banking/Financial,Banking,Banking/Loans
Banking/credit union,Banking,Banking/Loans
Banking/lending,Banking Loans,Banking/Loans
Banking/technology,Banking,Banking/Loans
Bankruptcy,Legal,Legal
Bar/Restaurant,Restaurant,Restaurant/Food Service
Basic materials,Oil Gas Energy,Oil/Gas/Energy
Batteries,Energy,Oil/Gas/Energy
Battery,Energy,Oil/Gas/Energy
Beauty,Other,Other
Beauty / Wellness,Marketing,Marketing/Advertising/PR
Beauty CPG,Marketing,Marketing/Advertising/PR
Beer Manufacturing,Agriculture,Agriculture
Behavioral Health,Healthcare,Healthcare
Behavioral Therapy (Psychology),Education,Education/Training
Behavioral research equipment,Research,Science/Research
Benefit Compensation,Human Resources,Human Resources
Benefits,Insurance,Insurance
Benefits Administration,Human Resources,Human Resources
Benefits Consulting,Consulting,Upper Management/Consulting
Benefits consulting (actuarial),Consulting,Upper Management/Consulting
Beverage,Restaurant,Restaurant/Food Service
Beverage Alcohol,Restaurant,Restaurant/Food Service
Beverage Industry,Restaurant Food Service,Restaurant/Food Service
Beverage Industry- Wine & Spirits,Hospitality Travel,Hospitality/Travel
Beverage Manufacturing,Manufacturing,Manufacturing/Mechanical
Beverage Marketing/Sales,Marketing,Marketing/Advertising/PR
Bicycle,Transportation,Transportation/Logistics
Big 4,Accounting,Accounting/Finance
Big Data,Research,Science/Research
Big Data Technology,Research,Science/Research
Big Four Accounting,Accounting,Accounting/Finance
Big Pharma,Pharmaceutical,Pharmaceutical/Bio-tech
Big Science,Science,Science/Research
Big box retail,Retail,Retail
Big box store.  Retail,Retail,Retail
Big tech,Business,Business/Analyst
Bike rental,Travel,Hospitality/Travel
Bindery,Restaurant,Restaurant/Food Service
Bio assay development,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Bio pharmaceutical,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biochemistry- pharmaceuticals,Pharmaceutical,Pharmaceutical/Bio-tech
Biofuels,Oil Gas Energy,Oil/Gas/Energy
Biological Research,Science Research,Science/Research
Biological Sciences,Science Research,Science/Research
Biological/biomedical research,Science Research,Science/Research
Biology - Academia,Science Research,Science/Research
Biology research,Research,Science/Research
Biomedical,Engineering,Engineering/Architecture
Biomedical Engineering,Engineering,Engineering/Architecture
Biomedical Research,Research,Science/Research
Biomedical science (government),Science Research,Science/Research
Biomedical sciences,Science Research,Science/Research
Biomedical/Medical Device,Engineering,Engineering/Architecture
Biopharma,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biopharmaceuticals,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biophysics,Science Research,Science/Research
Biotech,Bio-tech,Pharmaceutical/Bio-tech
Biotech / Genomics,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biotech / Pharma,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biotech Sales,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biotech Startup,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biotech Venture Capital,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biotech consulting,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biotech research,Bio-tech,Pharmaceutical/Bio-tech
Biotech/Marketing,Marketing,Marketing/Advertising/PR
Biotech/Pharma,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biotech/small pharma,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
BiotechMar,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biotechnology,Bio-tech,Pharmaceutical/Bio-tech
Biotechnology & Pharmaceuticals,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Biotechnology/Biology,Bio-tech,Pharmaceutical/Bio-tech
Biotechnology/Pharmaceuticals,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Blockchain,Computer Internet,Computer/Internet
Blood Bank,Healthcare,Healthcare
Blood Banking,Banking,Banking/Loans
Blood Banking (non profit),Banking,Banking/Loans
Book Distribution,Publishing,Arts/Entertainment/Publishing
Book publishing,Publishing,Arts/Entertainment/Publishing
Bookkeeping,Accounting,Accounting/Finance
Books,Publishing,Arts/Entertainment/Publishing
Bookselling,Publishing,Arts/Entertainment/Publishing
Bookselling/retail,Publishing,Arts/Entertainment/Publishing
Brand / Marketing,Marketing,Marketing/Advertising/PR
Brand Management & Marketing,Marketing,Marketing/Advertising/PR
Branded Content/Publishing,Advertising,Marketing/Advertising/PR
Branding,Marketing,Marketing/Advertising/PR
Branding/communications,Marketing,Marketing/Advertising/PR
Brewery,Restaurant,Restaurant/Food Service
Brewery/craft beer,Travel,Hospitality/Travel
Brewing,Agriculture,Agriculture
Broadcast,Media,Media
Broadcast Journalism,Media,Media
Broadcast Media,Media,Media
Broadcasting,Media,Media
Broadcasting/communications,Media,Media
Broker dealer in investment,Security,Law Enforcement/Security
Brokerage industry,Finance,Accounting/Finance
Bsnking,Banking,Banking/Loans
Building,Architecture,Engineering/Architecture
Building & Construction,Construction,Construction/Facilities
Building Automation,Business Analyst,Business/Analyst
Building Construction (Engineering),Construction,Construction/Facilities
Building Controls,Energy,Oil/Gas/Energy
Building Materials Distribution,Construction,Construction/Facilities
Building Materials Supplier,Construction,Construction/Facilities
Building Operations,Construction,Construction/Facilities
Building Services (Construction & Janitorial),Construction,Construction/Facilities
Building Supplies,Construction,Construction/Facilities
Building Supplies & Lumber,Construction,Construction/Facilities
Building Technologies,Construction,Construction/Facilities
Building efficiency,Energy,Oil/Gas/Energy
Building facilities services,Facilities,Construction/Facilities
Building materials,Construction,Construction/Facilities
Building trades,Construction,Construction/Facilities
Buildings and Infrastructure,Construction,Construction/Facilities
Buldings - interier goods,Architecture,Engineering/Architecture
Bulk Material Handling,Manufacturing Mechanical,Manufacturing/Mechanical
Business,Business,Business/Analyst
Business & Technology,Business Analyst,Business/Analyst
Business Consulting,Consulting,Upper Management/Consulting
Business Development,Business Analyst,Business/Analyst
Business Equipment and software solutions,Upper Management,Upper Management/Consulting
Business Intelligence/ICT,Logistics,Transportation/Logistics
Business Management,Business Analyst,Business/Analyst
Business Process Improvement,Business Analyst,Business/Analyst
Business Process Outsourcing,Business,Business/Analyst
Business Services,Business,Business/Analyst
Business Services-technology,Business,Business/Analyst
Business Solutions,Business Analyst,Business/Analyst
Business Support Services,Business,Business/Analyst
"Business Transformation, Human Resources",Human Resources,Human Resources
Business and Technical Consulting,Consulting,Upper Management/Consulting
Business association,Business,Business/Analyst
Business coaching,Business,Business/Analyst
Business intelligence,Business Analyst,Business/Analyst
Business operations,Business Analyst,Business/Analyst
Business owner,Business,Business/Analyst
Business-to-Business Publishing,Marketing,Marketing/Advertising/PR
Business/IT Consulting,Consulting,Upper Management/Consulting
Busing,Education,Education/Training
C store management,Retail,Retail
CAD/CAM,Manufacturing Mechanical,Manufacturing/Mechanical
CBD Industry,Business,Business/Analyst
CG,Media,Media
CIVIL ENGINEER,Engineering,Engineering/Architecture
CNC Machining,Manufacturing Mechanical,Manufacturing/Mechanical
CONSULTANT ERP,Consulting,Upper Management/Consulting
CPA,Accounting,Accounting/Finance
CPG,Retail,Retail
CPG - Consumer Packaged Goods,Retail,Retail
CPG Manufacturing,Retail,Retail
CPS Brokerage,Insurance,Insurance
Cabinet,Real Estate,Real Estate
Cable,Internet,Computer/Internet
Cable TV,Internet,Computer/Internet
Cable internet provider,Internet,Computer/Internet
Call Center / Sales,Customer Service,Customer Service
Call Center Management,Customer Service,Customer Service
Call Centers,Customer Service,Customer Service
Call centre,Customer Service,Customer Service
Camping,Travel,Hospitality/Travel
Cancer Clinical Trials,Pharmaceutical,Pharmaceutical/Bio-tech
Cancer Research,Research,Science/Research
Candle making,Legal,Legal
Cannabis,Pharmaceutical,Pharmaceutical/Bio-tech
Capital human solutiond,Human Resources,Human Resources
Car Rental,Travel,Hospitality/Travel
Car Rental Industry,Insurance,Insurance
Car and Technology,Insurance,Insurance
Car insurance,Insurance,Insurance
Car salesman,Sales,Sales
Care giver,Healthcare,Healthcare
Caregiving,Healthcare,Healthcare
Cargo tank manufacturing,Transportation,Transportation/Logistics
Caring for developmentally disabled adults,Healthcare,Healthcare
Cartography,Science,Science/Research
Casino,Travel,Hospitality/Travel
Catering,Restaurant,Restaurant/Food Service
Catering (Wedding & Other Events),Food Service,Restaurant/Food Service
Catholic Church,Government,Government/Military
CdL delivery driver hazmat,Food Service,Restaurant/Food Service
Cellular sales,Customer Service,Customer Service
Central government,Science Research,Science/Research
Ceramics,Arts,Arts/Entertainment/Publishing
Ceramics Manufacturing,Manufacturing,Manufacturing/Mechanical
Chamber of Commerce,Business,Business/Analyst
Change Management Consulting,Upper Management Consulting,Upper Management/Consulting
Charitable,Non-Profit,Non-Profit/Volunteering
Charitable Giving,Non-Profit,Non-Profit/Volunteering
Charitable Sector,Non-Profit,Non-Profit/Volunteering
Charitable fundraising organization,Non-Profit,Non-Profit/Volunteering
Charities,Non-Profit,Non-Profit/Volunteering
Charity,Non-Profit,Non-Profit/Volunteering
Charity (Non Profit),Non-Profit,Non-Profit/Volunteering
Charity - Agricultural,Agriculture,Agriculture
Charity Marketing,Marketing,Marketing/Advertising/PR
Charity fundraising,Non-Profit,Non-Profit/Volunteering
Charity retail,Retail,Retail
Charity sector,Non-Profit,Non-Profit/Volunteering
